    
Name                                     Id                                            Version
HeidiSQL Nightly                         AnsgarBecker.HeidiSQLNightly                  11.0.0.6057
AngryIPScanner                           angryziber.AngryIPScanner                     3.7.1
yuque                                    alibaba.yuque                                 0.5.19
Algodoo                                  Algoryx.Algodoo                               2.1.0
Alchemy Viewer                           Alchemy.Viewer                                6.3.6.46705
Alacritty                                Alacritty.Alacritty                           0.4.3
Aya                                      7room.Aya                                     0.10.4
Potplayer                                Daum.Potplayer                                1.7.21305
Mypal                                    Feodor2.Mypal                                 28.14.2
Office Deployment Tool                   Microsoft.officedeploymenttool                16.0.13231.20368
Unity Hub                                UnityTechnologies.UnityHub                    2.4.2.0
PKU gateway                              pku.gateway                                   0.9.8
Strawberry                               StrawberryMusicPlayer.Strawberry              0.8.3
euroscope                                gergelycsernak.euroscope                      3.2.1.0
Plantronics Hub                          Poly.PlantronicsHub                           3.20.0
Kaspersky Security Cloud                 Kaspersky.SecurityCloud                       4.21.0.0
Directory Opus                           GPSoftware.DirectoryOpus                      12.22
Dokany                                   dokan-dev.Dokany                              1.4.0.1000
CrystalDiskMark                          CrystalDewWorld.CrystalDiskMark               8.0.0a
CrystalDiskMark Shizuku Edition          CrystalDewWorld.CrystalDiskMarkShizukuEdition 8.0.0a
Listary                                  Bopsoft.Listary                               5.00.2843
Path Copy Copy                           CLechasseur.PathCopyCopy                      19.0
Virtual CloneDrive                       ElaborateBytes.VirtualCloneDrive              5.5.2.0
IntelliJ IDEA Community Edition          JetBrains.IntelliJIDEA.Community              2020.3
PyCharm Community Edition                JetBrains.PyCharm.Community                   2020.3
WizFile                                  AntibodySoftware.WizFile                      3.02
Cold Turkey Blocker                      ColdTurkeySoftware.ColdTurkeyBlocker          4.1
DMM Game Player                          DMM.GamePlayer                                2.5.7
Fedora Remix for WSL                     whitewaterfoundry.fedora-remix-for-wsl        31.5.0.0
PyCharm Professional                     JetBrains.PyCharm.Professional                2020.3
