    
Name                                     Id                                            Version
OpenHashTab                              namazso.OpenHashTab                           2.3.0
Packet Sender                            NagleCode.PacketSender                        7.0.6
TrackMania Nations Forever               Nadeo.TrackManiaNationsForever                2.11.26
MyPaint                                  MyPaint.MyPaint                               2.0.1
MY.GAMES GameCenter                      MyGames.GameCenter                            4.0.1569.53606
Muta                                     Muta.Muta                                     2.1.02
MusicBrainz Picard                       MusicBrainz.Picard                            2.4.4
MullvadVPN                               MullvadVPN.MullvadVPN                         2020.6.0
Mp3tag                                   Mp3tag.Mp3tag                                 3.04a
Thunderbird Beta                         Mozilla.ThunderbirdBeta                       78.0b1
Thunderbird Czech                        Mozilla.Thunderbird-cs                        78.0
Thunderbird                              Mozilla.Thunderbird                           78.3.2
Thunderbird (Swedish)                    Mozilla.Thunderbird.Thunderbird_v78.1.1       78.1.1 (sv-SE)
Thunderbird (Swedish)                    Mozilla.Thunderbird.Thunderbird_v78.1.0       78.1.0 (sv-SE)
Firefox Nightly                          Mozilla.FirefoxNightly                        86.0a1
Firefox ESR                              Mozilla.FirefoxESR                            78.6.0esr
Firefox Developer Edition                Mozilla.FirefoxDeveloperEdition               85.0b2
Firefox Czech                            Mozilla.Firefox-cs                            78.0.2
Firefox                                  Mozilla.Firefox                               84.0.1
Firefox (Chinese Taiwan)                 Mozilla.Firefox.Firefox_v79.0                 79.0 (ZH-TW)
Moonlight                                MoonlightGameStreamingProject.Moonlight       2.2.0
Pale Moon                                MoonchildProductions.PaleMoon                 28.15.0
MonoGame                                 MonoGame.MonoGame                             3.7.1.0
Notejoy                                  MonkiLabs.Notejoy                             1.10.1
MongoDB Compass Readonly                 MongoDB.Compass.Readonly                      1.21.2
MongoDB Compass Isolated                 MongoDB.Compass.Isolated                      1.21.2
MongoDB Compass Full                     MongoDB.Compass.Full                          1.21.2
MongoDB Compass Community                MongoDB.Compass.Community                     1.21.2
Quick Picture Viewer                     ModuleArt.QuickPictureViewer                  2.2.6
Scratch                                  MITMediaLab.Scratch                           3.11.1
CertAid                                  MIT.CertAid                                   2.2.6
Satisfactory Mod Launcher                Mircearoata.SatisfactoryModLauncher           1.0.17
Lens                                     Mirantis.Lens                                 4.0.5
PureData                                 MillerPuckette.PureData                       0.50-2
XML Notepad                              Microsoft.XMLNotepad                          2.8.0.17
Windows Terminal Preview                 Microsoft.WindowsTerminalPreview              1.5.3242.0
Windows Terminal                         Microsoft.WindowsTerminal                     1.4.3243.0
Windows Admin Center                     Microsoft.WindowsAdminCenter                  1.2.24130.0
Windows Assessment and Deployment ToolkтАж Microsoft.WindowsADK                          2004
Visual Studio Code - Insiders            Microsoft.VisualStudioCodeInsiders            1.53.11.4a875e23d2
Visual Studio Code                       Microsoft.VisualStudioCode                    1.52.1.ea3859d4ba
Visual Studio Professional               Microsoft.VisualStudio.Professional           16.0.30104.148
Visual Studio Enterprise                 Microsoft.VisualStudio.Enterprise             16.6.30128.74
Visual Studio Community                  Microsoft.VisualStudio.Community              16.8.30804.86
Visual Studio Build Tools                Microsoft.VisualStudio.BuildTools             16.6.30128.74
Windows 10 Update Assistant              Microsoft.UpdateAssistant                     1.4.9200.23192
Microsoft Teams                          Microsoft.Teams                               1.3.00.28779
Surface Duo Emulator                     Microsoft.SurfaceDuoEmulator                  2020.1210.4
SQL Server Management Studio             Microsoft.SQLServerManagementStudio           18.7.1
Smallbasic                               Microsoft.SmallBasic                          1.2
SharePoint Online Management Shell       Microsoft.SharePointOnlineManagementShell     16.0.20518.12000
Microsoft OneDrive Internal Slow         Microsoft.OneDriveInternalSlow                20.245.1206.0002
Microsoft OneDrive Internal Fast         Microsoft.OneDriveInternalFast                20.249.1210.0001
Multilingual App Toolkit                 Microsoft.MultilingualAppToolkit              4.0.0.0
Mouse and Keyboard Center                Microsoft.MouseandKeyboardCenter              12.181.137.0
MicrosoftGitCredentialManagerforWindows  Microsoft.GitCredentialManagerforWindows      1.20.0
Git Credential Manager Core              Microsoft.GitCredentialManagerCore            2.0.280.19487
Microsoft Edge Beta                      Microsoft.EdgeBeta                            88.0.705.22
.Net Framework                           Microsoft.dotNetFramework                     4.8
Bot Framework Emulator                   Microsoft.BotFrameworkEmulator                4.11.0
Bot Framework Composer                   Microsoft.BotFrameworkComposer                1.3.0
BITSmanager                              Microsoft.bitsmanager                         1.12
Azure Storage Explorer                   Microsoft.AzureStorageExplorer                1.17.0
Azure Storage Emulator                   Microsoft.AzureStorageEmulator                5.10.19227.2113
Azure Functions Core Tools               Microsoft.AzureFunctionsCoreTools             3.0.2534
Azure Data Studio                        Microsoft.AzureDataStudio                     1.24.0
Azure Cosmos Emulator                    Microsoft.AzureCosmosEmulator                 2.11.8
Azure CLI                                Microsoft.AzureCLI                            2.16.0
azure-iot-explorer                       Microsoft.azure-iot-explorer                  0.13.0
AppInstallerFileBuilder                  Microsoft.AppInstallerFileBuilder             1.2020.211.0
Windows PE Add-on for Windows ADK        Microsoft.ADKPEAddon                          2004
Accessibility Insights for Windows       Microsoft.AccessibilityInsightsWindows        1.1.1334.2
Those Funny Funguloids!                  MHGames.ThoseFunnyFunguloids                  1.06
I Have No Tomatoes                       MHGames.IHaveNoTomatoes                       1.5
MemuraiDeveloper                         Memurai.MemuraiDeveloper                      2.0.3
Tweeten                                  MehediHassan.Tweeten                          5.0.3
MediaInfo-GUI                            MediaArea.MediaInfo-GUI                       20.09
MediaInfo                                MediaArea.MediaInfo                           20.09
Maxthon 5 Cloud Browser                  Maxthon.Maxthon5                              5.3.8.2000
ConEmu                                   Maximus5.ConEmu                               20.10.11
Maxima                                   MaximaTeam.Maxima                             5.43.2
Monkey's Audio                           MatthewAshland.MonkeysAudio                   5.55
Mattermost Desktop                       Mattermost.MattermostDesktop                  4.6.1
MathpixSnippingTool                      Mathpix.MathpixSnippingTool                   02.07.0002
Master Packager                          MasterPackager.MasterPackager                 20.4.7622.0
Mark Text                                marktext.marktext                             0.16.2.2126
MariaDB Server                           MariaDB.Server                                10.5.7
VcXsrv                                   marha.VcXsrv                                  1.20.8.1
FreeCommander XE                         MarekJasinski.FreeCommanderXE                 810a
MSIX Hero                                MarcinOtorowski.MSIXHero                      1.4.3.0
TesseractOCR                             MannheimUniversityLibrary.TesseractOCR        5.0.0
Malwarebytes                             Malwarebytes.Malwarebytes                     4.2.1.89
Majsoul Plus                             majsoulplus.majsoul-plus                      2.0.0
MacType                                  MacType.MacType                               2019.1-beta6
Encrypto                                 MacPaw.Encrypto                               1.0.1
PyMODA                                   LUPhysics.PyMODA                              1.1.0
RunJS                                    lukehaas.RunJS                                1.11.0
EasyConnect                              lstratman.easyconnect                         3.0.0.82
MyMoney.Net                              LovettSoftware.MyMoney.Net                    1.1.65.0
LastPass                                 LogMeIn.LastPass                              4.51.0.1751
Logitech Harmony Remote                  Logitech.Harmony                              1.0.1.308
Lisk Hub                                 LiskFoundation.LiskHub                        1.22.0
RetroArch                                Libretro.RetroArch                            1.9.0
LibreOffice-PreReleases                  LibreOffice.LibreOffice-PreReleases           7.0.0.3
LibreCAD                                 LibreCAD.LibreCAD                             2.1.3
AutoHotkey                               Lexikos.AutoHotkey                            1.1.33.02
FontBase                                 Levitsky.FontBase                             2.11.3
LeoCAD                                   LeonardoZide.LeoCAD                           19.07.1
Lenovo System Update                     Lenovo.SystemUpdate                           5.07.0110
Lenovo Migration Assistant               Lenovo.MigrationAssistant                     2.1.2.32
Laragon                                  LeNgocKhoa.Laragon                            4.0.15
Lazarus                                  Lazarus.Lazarus                               2.0.10
pandoc-plot                              LaurentPRenedeCotret.pandoc-plot              1.0.1.0
Joplin                                   LaurentCozic.Joplin                           1.0.201
Media File Manager                       LancelotSoftware.MediaFileManager             2020.827.8.0
Bulk Crap Uninstaller                    Klocman.BulkCrapUninstaller                   4.16.0.0
CMake                                    Kitware.CMake                                 3.18.3
KiCad Lite EDA                           KiCad.KiCadLite                               5.1.9
KiCad EDA                                KiCad.KiCad                                   5.1.9
Vulkan SDK for Windows                   KhronosGroup.VulkanSDK                        1.2.135.0
Keybase                                  Keybase.Keybase                               5.6.0-20200528221358+040afтАж
KeePassXC                                KeePassXCTeam.KeePassXC                       2.6.2
Marble                                   KDE.Marble                                    2.2.0
Krita                                    KDE.Krita                                     4.3.0
Kate                                     KDE.Kate                                      20.08.1-1006
Julia                                    Julialang.Julia                               1.5.3
Appium                                   JSFoundation.Appium                           1.18.3
Inno Setup                               JRSoftware.InnoSetup                          6.1.2
DOSBox-X                                 joncampbell123.DOSBox-X                       0.83.6
Pandoc                                   JohnMacFarlane.Pandoc                         2.11.1
KDiff3                                   JoachimEibl.KDiff3                            0.9.98
Jianguoyun                               Jianguoyun.Jianguoyun                         4.3.5
Draw                                     JGraph.Draw                                   13.0.3
Conan                                    JFrog.Conan                                   1.32.1
The Silver Searcher                      JFLarvoire.Ag                                 2.2.3
Toolbox                                  JetBrains.Toolbox                             1.18.7609.0
Color Cop                                JayPrall.ColorCop                             5.4.3
